Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.001009803,9.259961e-05,-0.00046452353,0.0003619003,45.29814085707013,5,68.5816725602449,45.29814085707013,3.6193406544279623,25.469450522697297,0.1663471618410458,0.09059628171414026,0.002256654150068852,0.052445584409309846,5,2500,500,500.0,500,0.0,0.9994509,-0.00069614785,-0.9995869,0.6271242,40.02532515751041,5,57.88459623303198,40.02532515751041,14.576973260956157,16.083130602097903,0.17055702889817506,0.08005065031502082,0.023299321232814276,0.034080965661345455,12,5800,500,500.0,500,0.0,5800,0.009687093000138702,138.3767564079967,91.95947176299978,39.644181787000434,0.0070584019999841985,6.751605916996141,0.004721103000065341,141.93977939000024,3.0343000162247336e-05,1.0,-0.0,-6.0661526,-8.734018,-11.058765,0.81401426,-8.734409,11.303612,8.767623,6.660362,0.86231554,0.00483561,0.0029502437,0.0017120221,0.00057589036,0.0015445122,0.00045960926,-0.0006441199,0.0004665761,77.56299,77.60676,1000,0.0010238157,8.785926e-05,-0.00043761823,0.00036315923,0.0009807306,-3.3035063e-05,-0.0014038398,0.0006366501,1.0009812,0.99996716,0.99859715,0.0006365378
1,1,0.01591731,9.891402e-05,-0.013391239,0.0076664314,70.0955329663391,5,84.52614608051424,70.0955329663391,58.16084100872199,10.223928747868875,0.1693423864580391,0.14019106593267822,0.11512850316981144,0.020451932413788926,10,5000,500,500.0,500,0.0,0.9984592,0.002206631,-0.9967871,0.58855796,54.49780077606478,5,80.12038170681106,54.49780077606478,28.605808759815883,16.60400410216914,0.17587762500750156,0.10899560155212953,0.04993406225827199,0.03569288113439517,17,8300,500,500.0,500,0.0,8300,0.013463393000165524,87.5013185309981,40.45273329699967,40.31692059500028,0.007215178000024025,6.70678615299812,0.00417012900015834,229.76148433000026,2.9785999686282594e-05,0.7407422065734863,-6.563085079193115,-7.9289007,-8.869469,-10.516495,0.41912782,-38.195347,32.41792,31.556915,30.616068,0.3168655,32.000046,31.622623,31.020395,0.19598256,32.004253,31.62242,31.024868,0.1980249,0.07375899,0.073552705,2000,0.015957804,9.638956e-05,-0.013494463,0.0076477826,-0.12560813,-0.13783532,-0.15754868,0.007549717,0.8819604,0.87126696,0.85423523,0.006556483
2,2,0.017984727,0.0011367552,-0.019087799,0.012765863,50.88189610393645,5,80.22530023758233,50.88189610393645,12.63498552588715,29.242250225458438,0.16739182428830277,0.10176379220787293,0.01834578573785804,0.05981738321140521,15,7500,500,500.0,500,0.0,0.9990332,0.003114808,-0.9973299,0.58330476,61.8060373601038,5,88.7493220149705,61.8060373601038,5.142815372695545,30.356057428595093,0.1904390711590947,0.12361207472020758,0.00633025847624997,0.06143760986382279,22,10800,500,500.0,500,0.0,10800,0.00947337699972195,83.98147740799368,38.67873422499997,38.926889517999825,0.007049757999993744,6.355348056994444,0.0039531070001430635,314.0347048299932,2.9365999580477364e-05,0.5487454533576965,-13.160934448242188,-8.295414,-8.930483,-10.101667,0.34797072,-59.873848,55.797676,55.033012,53.355556,0.4380093,55.575245,54.982464,53.436256,0.40834773,55.5699,54.978844,53.441063,0.40790996,0.033498578,0.03389352,3000,0.018065583,0.0011323778,-0.019087953,0.012719825,-0.1382803,-0.14771108,-0.1574489,0.0053013475,0.87085456,0.8626925,0.85432047,0.004575993
3,3,0.012535946,-0.000362618,-0.023424393,0.0091494275,49.44414327594408,5,74.91918603793506,49.44414327594408,19.260606435283254,19.040546309316486,0.16692554051587186,0.09888828655188814,0.030776287898228675,0.03930301071629845,20,10000,500,500.0,500,0.0,0.9966965,-0.0016850528,-0.99864703,0.5938649,68.00134032138205,5,118.4222154759173,68.00134032138205,47.8347383335866,25.739747504478977,0.25148135225310936,0.13600268064276402,0.08631619250352272,0.051932971878889,27,13300,500,500.0,500,0.0,13300,0.009532514000056835,84.43943774800391,38.1591599100002,39.72679064100021,0.007034210999790957,6.532849122003427,0.0040421779999633145,398.7763529360027,2.917200026786304e-05,0.406513512134552,-19.74326515197754,-7.963188,-8.933594,-12.210696,0.4975675,-75.30051,72.79676,71.766975,69.50551,0.602503,72.470406,71.66933,69.56748,0.55803317,72.47903,71.68004,69.5828,0.55758584,0.046367705,0.04460426,4000,0.0125337085,-0.00035611785,-0.02342348,0.009118208,-0.09923036,-0.11826842,-0.1289069,0.0065776724,0.9055341,0.8884768,0.8790558,0.0058560376
4,4,0.014392219,-0.0030228721,-0.0438088,0.014685045,56.535951295605344,5,102.5621829843452,56.535951295605344,9.16327382939495,32.42251158058788,0.21617740313847958,0.11307190259121071,0.012588318168037963,0.06572807311959587,25,12500,500,500.0,500,0.0,0.9975198,-0.0026246207,-0.99924535,0.5880912,49.95150855855001,5,66.18448735582135,49.95150855855001,28.048375190366592,14.96388420352262,0.18075723116333053,0.09990301711710001,0.05019441153570871,0.034092775717274044,32,15800,500,500.0,500,0.0,15800,0.009619188999749895,84.48180211299996,38.74336404199994,39.19328127400013,0.007132073999855493,6.524326492000455,0.004049580999890168,483.55498426599115,2.9460999940056354e-05,0.30115389823913574,-26.22165870666504,-7.935583,-8.848948,-10.726833,0.4034206,-85.41664,84.14505,82.83757,80.041504,0.7232835,83.57428,82.74643,79.86705,0.7155056,83.65356,82.79825,79.909904,0.71750206,0.031997208,0.025397666,5000,0.014411455,-0.003025031,-0.043777637,0.014680363,-0.12465548,-0.13522924,-0.14517805,0.0052755703,0.882801,0.8735278,0.8648683,0.0046132295
5,5,0.009326374,-0.0064954865,-0.05231806,0.015779292,60.84302137800182,5,73.02209444097964,60.84302137800182,41.383161760853376,12.789354076419565,0.2539407285235732,0.12168604275600362,0.073623123090242,0.02752836611786525,30,15000,500,500.0,500,0.0,0.99882317,-0.0008549991,-0.99984837,0.58513635,66.48954815512768,5,93.93391054725322,66.48954815512768,38.063845380710084,17.72629065844598,0.2035580163836596,0.13297909631025528,0.06240221916344172,0.03714540123687578,37,18300,500,500.0,500,0.0,18300,0.009595545000138372,85.67397340700472,39.263007774000016,39.87504413800025,0.007082688999616948,6.515160870005275,0.0040529619996050315,569.5273635469839,2.9428999823721824e-05,0.22310325503349304,-32.8897819519043,-7.543437,-8.924757,-10.139778,0.411972,-91.92571,90.82035,89.897255,86.2046,0.8356012,90.88598,89.93198,86.2165,0.8410264,90.88242,89.94245,86.24589,0.8398008,0.014948916,0.015586777,6000,0.0096781235,-0.006528594,-0.054334056,0.015843047,-0.1271221,-0.1382663,-0.15559158,0.0063775633,0.88062614,0.8708845,0.8559087,0.0055444436
6,6,0.007889864,-0.0111351935,-0.08125187,0.022388417,50.48457777102544,5,71.87245496486368,50.48457777102544,8.87770412472285,22.147246728929776,0.15959154351977525,0.10096915554205094,0.008591479478260824,0.04566415247052623,35,17500,500,500.0,500,0.0,0.99800456,-0.0025419302,-0.9987707,0.58727074,67.54336135944138,5,80.4995763416667,67.54336135944138,45.00030026455717,12.929902701863613,0.17413016079820018,0.13508672271888278,0.07703576961646216,0.02720286034915907,42,20800,500,500.0,500,0.0,20800,0.009494071000062831,84.56933573500237,38.457092570999976,39.58571189999975,0.007098939000115934,6.5052418870027395,0.0046672369999214425,654.4033044069911,2.9129999802535167e-05,0.16527915000915527,-39.26877212524414,-7.993167,-8.814537,-10.455901,0.44080552,-95.22885,94.90949,93.77387,89.8634,0.9266228,94.89755,93.778534,89.72096,0.9391648,94.89798,93.77071,89.7193,0.93966675,0.0047811475,0.004731269,7000,0.007870882,-0.011128,-0.08113685,0.022375999,-0.1304508,-0.14127833,-0.15278336,0.0057925195,0.8776997,0.86826223,0.85831565,0.005027205
7,7,0.019806372,-0.010274902,-0.082682304,0.025197133,47.61650006821227,5,79.38985841553894,47.61650006821227,3.0523447574534455,35.24144881819054,0.18736759189223695,0.09523300013642454,0.0028629906572296064,0.07145100418444376,40,20000,500,500.0,500,0.0,0.9988267,-0.008355265,-0.9993365,0.5887459,66.04328293022058,5,90.96206795497986,66.04328293022058,4.2719603848275,32.55329096431976,0.20061740731920244,0.13208656586044115,0.005304066539446133,0.06624024580105907,47,23300,500,500.0,500,0.0,23300,0.009545034999973723,84.13647605800406,38.13079473800008,39.46457254899997,0.007101413999862416,6.520354918004159,0.00407775399980892,738.8435537089904,2.9650000215042382e-05,0.12244674563407898,-45.96202087402344,-7.8407936,-8.885853,-10.141335,0.46400523,-96.593,96.99416,95.49268,90.839226,1.2288134,97.04082,95.50737,90.93661,1.2296187,97.06392,95.52038,90.963135,1.2284514,0.0035199244,0.0039912285,8000,0.019698117,-0.010298988,-0.081407055,0.025298385,-0.11077076,-0.1319583,-0.1425545,0.0076861507,0.8951439,0.8764035,0.8671403,0.006768556
8,8,0.014931837,-0.019340614,-0.104856886,0.031648565,46.0028456133624,5,67.10628112815361,46.0028456133624,3.1182447145506296,24.460258466873633,0.18398125615228955,0.09200569122672485,0.002196263722870558,0.050119801741629603,45,22500,500,500.0,500,0.0,0.9985731,-0.011222635,-0.99794215,0.58787453,77.15641641133934,5,84.70674559032014,77.15641641133934,67.8623914005711,5.423593206181642,0.18863344864836745,0.15431283282267866,0.1213723221646305,0.015921621283788927,52,25800,500,500.0,500,0.0,25800,0.00944878600012089,84.57218696600785,38.03342277499996,39.98783521899986,0.00709303399980854,6.53029647900803,0.004060961000050156,823.7215422289992,2.9712000014114892e-05,0.09071366488933563,-52.449058532714844,-7.9872923,-8.853345,-11.7818165,0.48062387,-96.47743,97.71678,95.698685,90.729294,1.3218117,97.75614,95.676025,90.63051,1.3222913,97.76289,95.68963,90.675186,1.3204335,0.0026394264,0.0022026887,9000,0.014712809,-0.019373337,-0.10321173,0.031721395,-0.13245793,-0.14075993,-0.14999291,0.0051957453,0.8759398,0.86870956,0.8607141,0.00451238
9,9,0.014538474,-0.0245483,-0.14796136,0.04661124,51.92176176403971,5,73.24295858829268,51.92176176403971,2.798937966522857,25.358306164716748,0.1887654749982337,0.1038435235280794,0.002657226974894776,0.05129339229696581,50,25000,500,500.0,500,0.0,0.9979728,-0.021837829,-0.99868083,0.5884101,78.49873937557109,5,101.76531035066844,78.49873937557109,52.21261016263784,16.29339771197388,0.22694380044752746,0.15699747875114217,0.09152883790490358,0.03603073013654368,57,28300,500,500.0,500,0.0,28300,0.009621317999972234,85.03565983600038,38.42226749500014,40.0293739990002,0.007031409999854077,6.5632642760001545,0.004071966000083194,909.060914787,2.937199997177231e-05,0.06720863282680511,-58.99091339111328,-7.9166813,-8.848864,-11.407598,0.4615311,-95.091095,96.71177,94.59346,89.19464,1.5565144,96.690674,94.48845,89.105995,1.5488049,96.786964,94.56811,89.19861,1.5474174,0.105516516,0.09541483,10000,0.014349084,-0.024500826,-0.1461124,0.0465439,-0.12392088,-0.1404778,-0.15325187,0.007469237,0.88344973,0.8689672,0.8579136,0.0065056607
